location,lat,lon,predicted_yield_tph,predicted_irrigation_need,predicted_irrigation_need_probs,predicted_disease_risk,ndvi,evi,soil_moisture,weather_temp,weather_humidity,pressure,wind_speed,wind_deg
Jalgaon,21.0167,75.5667,9.5212217213512069,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0079375009711983874""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99206249902880161""
  }]
}",0.10083241734179538,,,,26.07,71,1007,3.81,295
Thanjavur,10.8,79.15,10.566426734706226,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0067534463089698026""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99324655369103021""
  }]
}",0.07648039056669606,0.404806386562232,0.39989445842753274,0.16452184253268773,26.41,76,1007,3.94,266
Silvassa,20.2667,73.0167,12.14838151264431,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00072910813806524718""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99927089186193474""
  }]
}",0.055939797110711884,0.23114958797207377,0.21528899757392927,0.45966490639580621,24.98,90,1007,2.16,190
Daman,20.4167,72.85,11.084093092936481,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00056464110155982127""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99943535889844015""
  }]
}",0.070100480517265126,0.33841465956241695,0.31896553008720741,,26.53,85,1007,5.18,231
Mahbubnagar,16.7333,77.9833,9.4499794677751066,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00168699305808684""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99831300694191316""
  }]
}",0.043907399669489658,0.13254963613411444,0.153535518073416,0.34954433441162108,23.64,85,1007,3.6,285
Karaikal,10.9204,79.8267,9.871247163334214,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.001829856317636735""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99817014368236323""
  }]
}",0.0990464008040622,,,,27.03,80,1007,4.93,229
Ahmednagar,19.0833,74.7333,10.944865984208054,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00044877091087994452""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99955122908912009""
  }]
}",0.0370920273181532,0.18845949643147167,0.20214638834964205,0.44389513863457575,22.87,82,1008,4.57,260
Kullu,31.9579,77.1089,6.6169663325729875,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""2.133842358460366e-05""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99997866157641535""
  }]
}",-0.15344787457668818,,,,16.14,100,1008,1.92,205
Solapur,17.6833,75.9167,9.4772951719901428,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.002347119039760977""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99765288096023907""
  }]
}",0.063869654214513738,,,,25.4,76,1008,5.31,293
Erode,11.35,77.7333,9.1207214375488,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00055739214979204""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.999442607850208""
  }]
}",0.0015093370076996043,,,,24.6,86,1009,4.59,247
Nashik,19.9833,73.8,8.23743285761497,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00022067945743031608""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99977932054256968""
  }]
}",-0.062381508294948082,,,,21.86,91,1009,3.36,248
Kupwara,34.0306,74.2642,6.2648582981532925,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""8.684857419819713e-06""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99999131514258022""
  }]
}",-0.19048329672387676,0.32624930477117675,0.24675270920731157,0.36679534912109374,10.86,96,1009,2.18,206
Salem,11.65,78.1667,8.7695327864533379,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0017978560660876434""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99820214393391238""
  }]
}",-0.016351040136714998,0.16038239402864649,0.15637948190901596,0.2974989891052246,23.84,93,1009,1.48,216
Mandya,12.5242,76.8958,9.74004488043696,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.0004192820553904645""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99958071794460956""
  }]
}",-0.049103014828980482,0.2848498905527449,0.29274771943517186,0.32422815958658852,21.51,89,1010,4.66,265
Palakkad,10.7833,76.65,8.6819978941728753,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00017771671399858247""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99982228328600142""
  }]
}",-0.072736437135513823,,,,23.4,95,1010,3.47,253
Tumakuru,13.3374,77.1021,8.0409382500208224,0,"{
  ""predicted_irrigation_need_probs"": [{
    ""label"": ""1"",
    ""prob"": ""0.00020105591655183652""
  }, {
    ""label"": ""0"",
    ""prob"": ""0.99979894408344816""
  }]
}",-0.093033683298197375,,,,20.96,90,1010,3.84,285
